ID,Name,Start_Date,End_Date,Price_Model,Total_Limit_Salesforce,Campaign_Delivery_Status,Daily_Limit,Total_Limit,Impressions,CVVs,%Delivered,VCR,Vlook_up,Account_Manager,Placement_IDs,Analyst,Booked_Limit
299866,ACUK - Disney Fantastic Four - Sep29 - Oct12 - Burst 2,09/28/2025,12/10/2025,CPM,,Delivered in Full,"102,750","1,451,789","1,454,186","1,315,284",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299998,ACTR - Speed Medya - BiM - Oct11 - Oct12,10/10/2025,12/10/2025,CPCV,,Delivered in Full,"187,500","375,000","412,069","376,495",1,,"299,998",Gencay Evren,C-003238,Peddakotla Raviteja,357143
299876,ACRO - Cum Comunicam- APAPR PensiePriv - Sep1 - Oct12,11/09/2025,12/10/2025,CPCV,,Delivered in Full,"29,253","367,000","409,984","367,154",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299828,ACCS - GroupM CZ - Mazda - Aug25 - Oct12,08/28/2025,12/10/2025,CPCV,,Not Delivered in Full,"7,377","331,950","348,409","320,023",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299809,ACRO - Intersnack Pombar - Aug21 - Oct12,08/21/2025,12/10/2025,CPCV,,Delivered in Full,"4,000","216,000","232,753","216,024",1,,#N/A,Not Found,Not Found,Not Found,Not Found
299510,ACTR - Speed Medya TR - Bim TR - Jun11 - Jun12,11/06/2025,12/06/2025,CPCV,"666,667",Delivered in Full,"400,000","716,000","765,790","718,090",1,,#N/A,Not Found,Not Found,Not Found,Not Found
298974,ACTR - Vodafone TR - 5.5G - Feb20 - Mar17,02/19/2025,12/03/2025,CPCV,,Delivered in Full,"150,000","1,458,333","1,641,231","1,458,957",1,,,Not Found,Not Found,Not Found,Not Found
299019,ACTR - Minds2Lead TR - TME TR - Mickey - Mar4 - Mar12,03/03/2025,12/03/2025,CPCV,,Delivered in Full,"50,000","364,736","399,699","364,938",1,,,Not Found,Not Found,Not Found,Not Found
299965,ACBE - SpaceFwd BE EMEA - US Navy - Oct1 - Nov30,01/10/2025,11/30/2025,CPCV,,Delivered in Full,"100,000","3,040,303","3,226,756","3,040,636",1,,"299,965",Emirhan,,Mohamed Arsath,9050636
300074,ACUSH - Mcdonalds - EMV - Nov4 - Nov30,04/11/2025,11/30/2025,CPM,,Delivered in Full,"140,000","2,510,000","2,510,502","2,444,749",1,,"300,074",Idil Yurtan,C-003281,Mohamed Arsath,2500000
299868,ACUK - GOV UK - ICS This Girl Can - Sep10Nov30,09/09/2025,11/30/2025,CPCV,,Not Delivered in Full,"23,000","1,581,040","1,530,772","1,463,796",1,,"299,868",NA,C-002769,DT,1581040
300112,ACTR - EssenceMediacom TR EMEA - Audi TR - Nov1 - Nov30,12/11/2025,11/30/2025,CPCV,,Delivered in Full,"50,000","962,000","1,057,257","962,317",1,,"300,112",Gencay Evren,C-003458,Rajesh Kumar,961538
300138,ACKZ - Publicis Lego - Nov17 - Nov30,11/18/2025,11/30/2025,CPCV,,Delivered in Full,"67,000","735,000","817,418","735,616",1,,"300,138",Sesil Kaprilyan,C-003496,Asli Ero,700000
300182,ACTR - Ingage TR - Arcelik TR - Nov24 - Nov30,11/25/2025,11/30/2025,CPCV,,Delivered in Full,"100,000","720,000","791,850","720,683",1,,"300,182",Gencay Evren,C-003588,Rajesh Kumar,714285
300048,ACRO - Nestle Romania - Oct22 - Nov30,10/23/2025,11/30/2025,CPCV,,Not Delivered in Full,"3,500","673,444","741,369","669,237",1,,"300,048",Sesil Kaprilyan,C-003245,Asli Ero,663444
300118,ACCZ - Group M CZ - L’Oreal - 15Oct - 30Nov - Czechia,11/13/2025,11/30/2025,CPCV,,Delivered in Full,"45,000","676,667","721,642","677,063",1,,"300,118",Sesil Kaprilyan,C-003473,Asli Ero,666667
300014,ACRO - McDonald's Romania - Oct16 - Nov30,10/16/2025,11/30/2025,CPCV,,Not Delivered in Full,"4,200","465,000","510,015","464,861",1,,"300,014",Sesil Kaprilyan,C-003243,Asli Ero,463375
300061,ACEG - Spotify - 1Nov - 30Nov,10/31/2025,11/30/2025,CPCV,,Delivered in Full,"12,000","435,000","486,670","436,159",1,,"300,061",Gencay Evren,C-003406,Rajesh Kumar,430000
300145,ACTR - Universal McCann TR EMEA - ING Bank TR - Nov19 - Nov30,11/19/2025,11/30/2025,CPCV,,Delivered in Full,"40,000","441,000","481,948","441,272",1,,"300,145",Gencay Evren,C-003540,Rajesh Kumar,440341
300193,ACTR - Native Media TR EMEA - Mavi Jeans TR - Nov28 - Nov30,11/28/2025,11/30/2025,CPCV,,Delivered in Full,"105,000","410,000","441,465","412,993",1,,#N/A,Not Found,Not Found,Not Found,Not Found
300096,ACCZ - Group M - Loreal CZ - Nov1 - Nov30 - Czechia,10/11/2025,11/30/2025,CPCV,,Delivered in Full,"26,000","384,999","416,633","385,541",1,,"300,096",Sesil Kaprilyan,C-003439,Asli Ero,366666
299988,ACCS - DIGILINE EMEA - Shell SK - Oct 01 - Nov 30 - Shell SK,07/10/2025,11/30/2025,CPCV,,Delivered in Full,"6,500","367,500","399,215","367,597",1,,"299,988",Sesil Kaprilyan,C-003186,Asli Ero,350000
300020,ACRS - Vodafone MK - 16Oct - 30Nov,10/15/2025,11/30/2025,CPCV,,Delivered in Full,"7,000","300,000","358,203","300,027",1,,"300,020",Sesil Kaprilyan,C-003259,Asli Ero,296300
300079,ACSK - GroupM - Plzensky Prazdroj - Nov3 - Nov30,04/11/2025,11/30/2025,CPCV,,Delivered in Full,"17,500","330,000","356,262","330,123",1,,"300,079",Sesil Kaprilyan,C-003415,Asli Ero,328572
300199,ACCZ - Group M - Nestle Purina - Nov28 - Nov30,11/28/2025,11/30/2025,CPCV,,Delivered in Full,"170,000","320,000","349,832","321,589",1,,#N/A,Not Found,Not Found,Not Found,Not Found
300119,ACCZ - Group M CZ - L’Oreal - 15Oct - 30Nov - Hungary,11/13/2025,11/30/2025,CPCV,,Delivered in Full,"24,000","326,666","346,828","326,790",1,,"300,119",Sesil Kaprilyan,C-003474,Asli Ero,316666
299977,ACCS - GroupM SK EMEA - IDC Holding SK - Oct1 - Nov30,03/10/2025,11/30/2025,CPCV,,Delivered in Full,"8,000","301,350","332,870","301,385",1,,"299,977",Sesil Kaprilyan,C-003162,Asli Ero,287000
300097,ACCZ - Group M - Loreal CZ - Nov1 - Nov30 - Hungary,10/11/2025,11/30/2025,CPCV,,Delivered in Full,"16,000","287,826","311,554","288,020",1,,"300,097",Sesil Kaprilyan,C-003440,Asli Ero,274119
299847,ACCS - Group M CZ - Nestle CZ - Sep 1 - Nov 30,01/09/2025,11/30/2025,CPCV,,Not Delivered in Full,"2,000","243,858","265,585","243,806",1,,"299,847",Sesil Kaprilyan,C-002990,Asli Ero,232246
300121,ACCZ - Group M CZ - L’Oreal - 15Oct - 30Nov - Slovakia,11/13/2025,11/30/2025,CPCV,,Delivered in Full,"19,000","245,294","261,906","245,522",1,,"300,121",Sesil Kaprilyan,C-003475,Asli Ero,235294
299996,ACSR - McCann - Intesa SanPaolo Bank - Oct9 - Nov30,09/10/2025,11/30/2025,CPCV,,Delivered in Full,"4,200","210,000","246,195","210,033",1,,"299,996",Sesil Kaprilyan,C-003228,Asli Ero,200000
300082,ACSK - Slovnaft Winter Priming - Nov4 - Nov30,04/11/2025,11/30/2025,CPCV,,Not Delivered in Full,"13,000","183,750","199,689","180,568",1,,"300,082",Sesil Kaprilyan,C-003426,Asli Ero,175000
300098,ACCZ - Group M - Loreal CZ - Nov1 - Nov30 - Slovakia,10/11/2025,11/30/2025,CPCV,,Not Delivered in Full,"12,000","176,470","188,826","173,932",1,,"300,098",Sesil Kaprilyan,C-003441,Asli Ero,168067
300115,ACBE - SpaceFwd BE EMEA - EG Lunestil BE - Nov 11 - Nov 30 NEW,11/11/2025,11/30/2025,CPCV,,Delivered in Full,"15,000","168,758","180,840","168,804",1,,"300,115",Emirhan Ayan,C-003460,Mohamed Arsath,160722
300091,ACUK - T7S - Ladbrokes - Oct1 - Dec31 - BLS,07/11/2025,11/30/2025,CPM,,Delivered in Full,"10,000","140,000","140,049","123,121",1,,#N/A,Not Found,Not Found,Not Found,Not Found
300126,ACRS - Supermart MK Black Friday - 13Nov - 30Nov - BF Opsta,11/14/2025,11/30/2025,CPCV,,Delivered in Full,"4,509","76,666","87,599","76,711",1,,"300,126",Sesil Kaprilyan,C-003469,Asli Ero,66666
300125,ACRS - Supermart MK Black Friday - 13Nov - 30Nov - BF Klimi,11/14/2025,11/30/2025,CPCV,,Delivered in Full,"4,509","76,666","86,910","76,710",1,,"300,125",Sesil Kaprilyan,C-003468,Asli Ero,66666
300170,ACRS - Vodafone MK - 16Oct - 30Nov (2),11/21/2025,11/30/2025,CPCV,,Delivered in Full,"26,000","54,915","63,850","55,121",1,,"300,170",Sesil Kaprilyan,,Asli Ero,54915
300171,ACRS - Vodafone MK - 11Nov - 30Nov,11/21/2025,11/30/2025,CPCV,,Delivered in Full,"4,800","54,915","63,031","55,115",1,,"300,171",Sesil Kaprilyan,C-003566,Asli Ero,54915
300015,ACRO - McDonald's Romania - Oct16 - Nov30 - AV,10/16/2025,11/30/2025,CPCV,,Delivered in Full,535,"51,000","54,495","51,002",1,,"300,015",Sesil Kaprilyan,C-003242,Asli Ero,46337
300062,ACEG - Spotify - 1Nov - 30Nov - Added Value,10/31/2025,11/30/2025,CPCV,,Delivered in Full,"1,000","45,000","50,226","45,106",1,,"300,062",Gencay Evren,C-003407,Rajesh Kumar,43000
300099,ACTR - EssenceMediacom - Volkswagen TR - Nov7 - Nov28,10/11/2025,11/28/2025,CPCV,,Delivered in Full,"30,000","670,000","708,462","670,207",1,,"300,099",Gencay Evren,C-003455,Rajesh Kumar,666667
300188,ACTR - Speed Medya TR - BiM TR - Nov26 - Nov28,11/26/2025,11/28/2025,CPCV,,Delivered in Full,"150,000","540,000","588,520","540,990",1,,"300,188",Gencay Evren,C-003603,Rajesh Kumar,535714
300167,ACTR - Speed Medya TR - BiM TR - Nov21 - Nov28,11/21/2025,11/28/2025,CPCV,,Delivered in Full,"40,000","358,000","394,817","358,937",1,,"300,167",Yesim Utku,C-003582,Rajesh Kumar,357143
300181,ACTR - Speed Medya TR - BiM TR - Nov25 - Nov27,11/25/2025,11/27/2025,CPCV,,Delivered in Full,"100,000","360,000","393,251","362,576",1,,"300,181",Gencay Evren,C-003595,Rajesh Kumar,357143
299982,ACSR - Media Pool - PERUTNINA PTUJ - Oct6 - Nov28,06/10/2025,11/27/2025,CPCV,,Delivered in Full,"3,888","210,000","226,476","210,014",1,,"299,982",Sesil Kaprilyan,C-003187,Asli Ero,200000
300088,ACTR - Universal McCann TR - Sahibinden TR - Nov6 - Nov25,06/11/2025,11/25/2025,CPCV,,Delivered in Full,"70,000","1,380,000","1,724,039","1,380,433",1,,"300,088",Gencay Evren,C-003443,Rajesh Kumar,1379310
300068,ACUSH - McD McCrispy - Nov3 - Nov23,03/11/2025,11/24/2025,CPM,,Delivered in Full,"120,000","3,562,000","3,562,747","3,463,421",1,,"300,068",Idil Yurtan,C-003415,Mohamed Arsath,3529159
300031,ACRO - HTTPOOL - NetBet - Oct22 - Nov22,10/22/2025,11/24/2025,CPCV,,Not Delivered in Full,"21,000","786,470","891,656","779,738",1,,"300,031",Sesil Kaprilyan,C-003284,Asli Ero,470588
300032,ACRO - HTTPOOL - NetBet - Oct22 - Nov22 (Added Value),10/22/2025,11/24/2025,CPCV,,Not Delivered in Full,"3,000","78,647","84,875","75,696",1,,"300,032",Sesil Kaprilyan,C-003283,Asli Ero,47058
