ID,Name,Price_Model,Start_Date,End_Date,Delivered,Under_Over_Delivery,Campaign_Status,Daily_Limit,Daily_Pace_Needed,Days_Remaining,Projected_Total_Delivery_Yesterdays_Pace,Total_Limit,Total_Remaining,Under_Over_Formatting,Yesterday_Pace_EOF_Formatting,Yesterday_Pace_to_End_of_Flight,Time,CVVs,Impressions,Total_CVV_thru_Yesterday,Total_Imps_thru_Yesterday,Yesterday_Delivered,Compare,Account_Manager     ,Placement_IDs,Analyst,Booked_Limit
300305,ACBE - SpaceFwd BE EMEA - Cupra BE - Jan 1 - Feb 2,CPCV,1/1/2026 12:00:00 am,46024,0.42,1.02,In Progress,"19,654",17260.44,18,595249,535000,"309,192",GREEN,RED,1.12,0.41,225808,250886,224312,249194,"19,523",300305,Emirhan,C-003734,Mohamed Arsath,525000
300284,ACLAUS - Starcom - Mcdonalds - Jan6 - Feb2,CPM,1/6/2026 12:00:00 pm,46055,0.41,1.14,In Progress,"100,000",63630.68,19,"2,798,417",2000000,"1,177,982",RED,RED,1.41,0.27,"814,592","822,018","783,784","791,017","100,370",300284,Idil Yurtan,C-003691,Mohamed Arsath,2000000
300333,ACSK - Shell Quality Days - Jan12 - March29,CPCV,1/13/2026 12:00:00 am,03/29/2026,0.02,1.01,In Progress,"12,300",6795.68,74,541120,510000,499044,GREEN,YELLOW,1.07,0.01,10956,11883,7120,7842,7120,300333,Sesil Kaprilyan,C-003785,Asli Ero,500000
300325,ACLAUS - VM1 - Verizon - Jan 8 - Mar 31,CPM,1/8/2026 12:00:00 am,03/31/2026,0.08,1,In Progress,"34,000",32009.17,76,2488058,"2,625,000","2,422,455",GREEN,GREEN,0.95,0.07,"187,098",202545,177652,192303,"29,815",300325,Idil Yurtan,C-003760,Mohamed Arsath,2500000
300296,ACLAUS - Wavemaker -Danone Activia - Jan 5 - Mar 31 - Product,CPM,1/5/2026 4:00:00 pm,03/31/2026,0.13,1.03,In Progress,"40,000","30,317",76,3410226,"2,625,000","2,291,667.00",GREEN,RED,1.3,0.1,316645,333333,304955,320909,"40,121",300296,Idil Yurtan,C-003718,Mohamed Arsath,2500000
300319,ACLAUS - Wavemaker -Danone Activia - Jan 5 - Mar 31 - Interactive,CPM,1/5/2026 4:00:00 pm,03/31/2026,0.09,1,In Progress,"65,000.00","62,788.88",76,4961909,"5,250,000.00","4,752,133.00",GREEN,GREEN,0.95,0.1,470953,"497,867.00","452,185.00","478,045.00","58,232.00",,Idil Yurtan,C-003719,Mohamed Arsath,5000000
300303,ACLAUS - Publicis Zenith - Disney - Jan 14 - Jun 28,CPM,1/14/2026 12:00:00 am,06/28/2026,0,1,In Progress,"35,000.00","31,458.35",165,,"5,190,628.00","5,179,736.00",GREEN,RED,0,0,10482,"10,892.00",,,0.00,,Idil Yurtan,C-003724,Mohamed Arsath,4943456
300304,ACBE - SpaceFwd BE EMEA - Dundle - Dec 31 - Jan 23,CPM,12/31/2025 12:00:00 am,01/23/2026,0.59,1,In Progress,"60,000.00","38,945.00",9,1052265,"800,000.00","331,813.00",GREEN,RED,1.34,0.58,0,"468,187.00",0.00,"449,495.00","60,277.00",,Not Found,Not Found,Not Found,Not Found
300280,ACCZ - Group M CZ - Investona_CZ - Dec24 - Jan31,CPCV,12/24/2025 12:00:00 am,01/31/2026,0.64,1.1,In Progress,"10,000.00","7,325.88",17,395316,"340,000.00","122,065.00",YELLOW,RED,1.17,0.54,217935,"249,794.00","215,460.00","246,957.00","9,992.00",,Sesil Kaprilyan,C-003705,Asli Ero,333333
300133,ACUK - UK GOV - NHS 111 - Nov17 - Feb02 - GOV UK,CPCV,11/18/2025 12:00:00 am,46055,0.71,0.97,In Progress,"22,500.00","27,661.79",19,1725926,"1,800,000.00","518,584.00",GREEN,GREEN,0.96,0.74,1281416,"1,346,178.00","1,274,426.00","1,338,900.00","22,575.00",,Not Found,Not Found,Not Found,Not Found
300266,ACRS - Tirana Bank - Dec18 - Feb15,CPCV,12/18/2025 12:00:00 am,02/15/2026,0.45,1,In Progress,"3,500.00","3,625.88",32,210000,"210,000.00","115,470.00",GREEN,GREEN,1,0.45,94530,"106,330.00","93,972.00","105,676.00","3,516.00",,Sesil Kaprilyan,C-003693,Asli Ero,200000
300281,ACUK - UK GOV - RAF Broad Appeal - Dec26 - Feb15,CPCV,12/26/2025 12:00:00 am,02/15/2026,0.35,0.99,In Progress,"27,000.00","28,107.44",32,1372207,"1,377,411.00","891,049.00",GREEN,GREEN,1,0.37,486362,"510,809.00","477,973.00","502,076.00","27,098.00",,Not Found,Not Found,Not Found,Not Found
299965,ACBE - SpaceFwd BE EMEA - US Navy - Oct1 - Feb28,CPCV,12/15/2025 12:00:00 am,02/28/2026,0.64,1.24,In Progress,"100,000.00","73,522.98",45,8479562,"9,050,636.00","3,280,307.00",RED,YELLOW,0.94,0.4,5770329,"6,120,791.00","5,742,102.00","6,091,065.00","59,510.00",,Emirhan,C-003169,Mohamed Arsath,9030303
300251,ACBE - SpaceFwd BE EMEA - US Navy - Dec15 - Feb28 - Added value,CPCV,12/15/2025 12:00:00 am,02/28/2026,0.5,1.11,In Progress,"15,000.00","7,561.07",45,1029500,"676,666.00","335,613.00",RED,RED,1.53,0.4,341053,"357,534.00","336,418.00","352,684.00","15,067.00",,Sesil Kaprilyan,C-003671,Mohamed Arsath,666666
300258,ACUK - UK GOV - Safer Streets - Dec16 - Mar01,CPCV,12/16/2025 12:00:00 am,46025,0.37,0.99,In Progress,"46,250.00","49,594.22",46,3503320,"3,600,000.00","2,270,389.00",GREEN,GREEN,0.98,0.38,1329611,"1,376,412.00","1,318,666.00","1,365,109.00","46,482.00",,Not Found,Not Found,Not Found,Not Found
300291,ACUK - UK GOV - DFE DO SOM - Dec29 - Mar15 - GOV UK,CPCV,12/29/2025 12:00:00 am,03/15/2026,0.21,1,In Progress,"11,000.00","10,798.28",60,839178,"813,635.00","644,462.00",GREEN,GREEN,1.04,0.21,169173,"176,809.00","165,738.00","173,227.00","11,040.00",,Not Found,Not Found,Not Found,Not Found
300120,ACUK - UK GOV - HMRC DIG - Nov13 - Mar30,CPCV,11/13/2025 12:00:00 am,03/30/2026,0.24,0.79,In Progress,"26,000.00","36,083.03",75,872586,"3,578,813.00","2,706,227.00",RED,RED,0.24,0.45,872586,"929,404.00","872,586.00","929,404.00",0.00,,Not Found,Not Found,Not Found,Not Found
300235,ACUK - UK GOV - DfE Skills - Dec08 - Mar31,CPCV,12/8/2025 12:00:00 am,03/31/2026,0.33,1,In Progress,"26,000.00","26,657.12",76,2983297,"3,000,000.00","2,017,821.00",GREEN,GREEN,1,0.32,982179,"1,030,051.00","974,059.00","1,021,659.00","26,094.00",,Not Found,Not Found,Not Found,Not Found
